1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.477761	0.000000	31.660370	0.012797	17.4
1	-0.482902	0.000000	31.660370	0.012566	6.5
2	-0.487777	0.000000	31.660370	0.011794	4.8
3	-0.491944	0.000000	31.660370	0.010546	5.8
4	-0.495333	0.000000	31.660370	0.009843	5.3
5	-0.498348	0.000000	31.660370	0.009803	4.3
6	-0.501809	0.000000	31.660370	0.011244	4.7
7	-0.506105	0.000000	31.660370	0.013281	5.7
8	-0.512358	0.000000	31.660370	0.016293	4.7
9	-0.521574	0.000000	31.660370	0.019422	7.0
10	-0.534738	0.000000	31.660370	0.023468	3.9
11	-0.553778	0.000000	31.660370	0.027287	5.3
12	-0.571041	0.000000	31.660370	0.025729	4.3
13	-0.584515	0.000000	31.660370	0.021909	4.7
14	-0.594679	0.000000	31.660370	0.019510	4.9
15	-0.602617	0.000000	31.660370	0.017614	5.1
16	-0.609316	0.000000	31.660370	0.016272	5.5
17	-0.617586	0.000000	31.660370	0.015773	5.9
18	-0.625473	0.000000	31.660370	0.015784	4.8
19	-0.632942	0.000000	31.660370	0.013966	6.0
20	-0.639037	0.000000	31.660370	0.013368	3.8
21	-0.643842	0.000000	31.660370	0.010480	4.8
22	-0.647230	0.000000	31.660370	0.009871	4.5
23	-0.650337	0.000000	31.660370	0.009477	3.9
24	-0.653056	0.000000	31.660370	0.009233	4.3
25	-0.655726	0.000000	31.660370	0.008549	4.9
26	-0.657984	0.000000	31.660370	0.008345	3.9
27	-0.660125	0.000000	31.660370	0.007831	4.7
28	-0.662037	0.000000	31.660370	0.007598	4.4
29	-0.663786	0.000000	31.660370	0.007051	4.5
30	-0.665326	0.000000	31.660370	0.006733	5.0
31	-0.666727	0.000000	31.660370	0.006421	4.4
32	-0.668006	0.000000	31.660370	0.006169	4.0
33	-0.669191	0.000000	31.660370	0.005979	6.8
34	-0.670308	0.000000	31.660370	0.005829	3.7
35	-0.671371	0.000000	31.660370	0.005684	4.4
36	-0.672380	0.000000	31.660370	0.005532	5.0
37	-0.673336	0.000000	31.660370	0.005379	4.9
38	-0.674240	0.000000	31.660370	0.005243	4.6
39	-0.675100	0.000000	31.660370	0.005118	5.2
40	-0.675918	0.000000	31.660370	0.004970	4.9
41	-0.676686	0.000000	31.660370	0.004798	3.9
42	-0.677401	0.000000	31.660370	0.004611	3.9
43	-0.678060	0.000000	31.660370	0.004405	3.7
44	-0.678658	0.000000	31.660370	0.004170	3.9
45	-0.679192	0.000000	31.660370	0.003907	6.6
46	-0.679654	0.000000	31.660370	0.003580	4.3
47	-0.680044	0.000000	31.660370	0.003310	5.6
48	-0.680377	0.000000	31.660370	0.003053	4.5
49	-0.680661	0.000000	31.660370	0.002821	4.9
50	-0.680914	0.000000	31.660370	0.002824	3.5
51	-0.681190	0.000000	31.660370	0.003481	3.6
52	-0.681555	0.000000	31.660370	0.003134	4.4
53	-0.681850	0.000000	31.660370	0.002827	5.4
54	-0.682081	0.000000	31.660370	0.002258	8.1
55	-0.682271	0.000000	31.660370	0.002792	4.5
56	-0.683113	0.000000	31.660370	0.002499	2.1
57	-0.683300	0.000000	31.660370	0.002237	2.3
58	-0.683449	0.000000	31.660370	0.001961	2.0
59	-0.683564	0.000000	31.660370	0.001761	1.9
60	-0.684268	0.000000	31.660370	0.001620	2.1
61	-0.684346	0.000000	31.660370	0.001447	2.8
62	-0.684409	0.000000	31.660370	0.001320	2.1
63	-0.684462	0.000000	31.660370	0.001209	2.7
64	-0.684506	0.000000	31.660370	0.001112	2.7
65	-0.684544	0.000000	31.660370	0.001028	1.6
66	-0.684576	0.000000	31.660370	0.000958	2.1
67	-0.685215	0.000000	31.660370	0.000793	2.3
68	-0.685234	0.000000	31.660370	0.000747	1.4
