1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.477761	0.000000	31.660370	0.012797	9.7
1	-0.482902	0.000000	31.660370	0.012566	1.1
2	-0.487777	0.000000	31.660370	0.011794	1.1
3	-0.491944	0.000000	31.660370	0.010546	1.1
4	-0.495333	0.000000	31.660370	0.009843	1.2
5	-0.498348	0.000000	31.660370	0.009803	1.1
6	-0.501809	0.000000	31.660370	0.011244	1.1
7	-0.506105	0.000000	31.660370	0.013281	1.1
8	-0.512358	0.000000	31.660370	0.016293	1.1
9	-0.521574	0.000000	31.660370	0.019422	1.1
10	-0.534738	0.000000	31.660370	0.023468	1.1
11	-0.553778	0.000000	31.660370	0.027287	1.1
12	-0.571041	0.000000	31.660370	0.025729	1.1
13	-0.584515	0.000000	31.660370	0.021909	1.1
14	-0.594679	0.000000	31.660370	0.019510	1.1
15	-0.602617	0.000000	31.660370	0.017614	1.1
16	-0.609316	0.000000	31.660370	0.016272	1.1
17	-0.617586	0.000000	31.660370	0.015773	1.1
18	-0.625473	0.000000	31.660370	0.015784	1.0
19	-0.632942	0.000000	31.660370	0.013966	1.1
20	-0.639037	0.000000	31.660370	0.013368	1.1
21	-0.643842	0.000000	31.660370	0.010480	1.1
22	-0.647230	0.000000	31.660370	0.009871	1.1
23	-0.650337	0.000000	31.660370	0.009477	1.1
24	-0.653056	0.000000	31.660370	0.009233	1.1
25	-0.655726	0.000000	31.660370	0.008549	1.1
26	-0.657984	0.000000	31.660370	0.008345	1.0
27	-0.660125	0.000000	31.660370	0.007831	1.1
28	-0.662037	0.000000	31.660370	0.007598	1.2
29	-0.663786	0.000000	31.660370	0.007051	1.1
30	-0.665326	0.000000	31.660370	0.006733	1.1
31	-0.666727	0.000000	31.660370	0.006421	1.1
32	-0.668006	0.000000	31.660370	0.006169	1.1
33	-0.669191	0.000000	31.660370	0.005979	1.1
34	-0.670308	0.000000	31.660370	0.005829	1.1
35	-0.671371	0.000000	31.660370	0.005684	1.1
36	-0.672380	0.000000	31.660370	0.005532	1.1
37	-0.673336	0.000000	31.660370	0.005379	1.1
38	-0.674240	0.000000	31.660370	0.005243	1.2
39	-0.675100	0.000000	31.660370	0.005118	1.1
40	-0.675918	0.000000	31.660370	0.004970	1.1
41	-0.676686	0.000000	31.660370	0.004798	1.2
42	-0.677401	0.000000	31.660370	0.004611	1.1
43	-0.678060	0.000000	31.660370	0.004405	1.1
44	-0.678658	0.000000	31.660370	0.004170	1.1
45	-0.679192	0.000000	31.660370	0.003907	1.1
46	-0.679654	0.000000	31.660370	0.003580	1.1
47	-0.680044	0.000000	31.660370	0.003310	1.2
48	-0.680377	0.000000	31.660370	0.003053	1.0
49	-0.680661	0.000000	31.660370	0.002821	1.1
50	-0.680914	0.000000	31.660370	0.002824	1.1
51	-0.681190	0.000000	31.660370	0.003481	1.0
52	-0.681555	0.000000	31.660370	0.003134	1.1
53	-0.681850	0.000000	31.660370	0.002827	1.1
54	-0.682081	0.000000	31.660370	0.002258	1.1
55	-0.682271	0.000000	31.660370	0.002792	1.1
56	-0.683113	0.000000	31.660370	0.002499	1.2
57	-0.683300	0.000000	31.660370	0.002237	1.1
58	-0.683449	0.000000	31.660370	0.001961	1.1
59	-0.683564	0.000000	31.660370	0.001761	1.1
60	-0.684268	0.000000	31.660370	0.001620	1.1
61	-0.684346	0.000000	31.660370	0.001447	1.1
62	-0.684409	0.000000	31.660370	0.001320	1.0
63	-0.684462	0.000000	31.660370	0.001209	1.1
