1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.525706	0.000000	76.239860	0.004752	79.7
1	-0.527695	0.000000	76.239860	0.003823	9.6
2	-0.528743	0.000000	76.239860	0.002806	9.4
3	-0.529317	0.000000	76.239860	0.002171	9.4
4	-0.529660	0.000000	76.239860	0.001803	9.3
5	-0.529915	0.000000	76.239860	0.001938	9.6
6	-0.530240	0.000000	76.239860	0.002062	9.6
7	-0.530557	0.000000	76.239860	0.001656	9.6
8	-0.530761	0.000000	76.239860	0.001323	9.3
9	-0.530895	0.000000	76.239860	0.001062	9.4
10	-0.530973	0.000000	76.239860	0.000842	9.3
11	-0.531014	0.000000	76.239860	0.000718	9.5
12	-0.531045	0.000000	76.239860	0.000708	9.7
13	-0.531073	0.000000	76.239860	0.000693	9.5
14	-0.531102	0.000000	76.239860	0.000742	9.8
15	-0.531140	0.000000	76.239860	0.000861	9.2
16	-0.531197	0.000000	76.239860	0.001008	9.4
17	-0.531277	0.000000	76.239860	0.001180	10.5
18	-0.531384	0.000000	76.239860	0.001332	9.7
19	-0.531510	0.000000	76.239860	0.001352	9.3
20	-0.531624	0.000000	76.239860	0.001217	9.8
21	-0.531690	0.000000	76.239860	0.000939	9.6
22	-0.531727	0.000000	76.239860	0.000923	9.7
23	-0.531747	0.000000	76.239860	0.000572	9.4
24	-0.531770	0.000000	76.239860	0.000448	9.2
25	-0.531772	0.000000	76.239860	0.000546	9.3
26	-0.531791	0.000000	76.239860	0.000571	9.3
27	-0.531809	0.000000	76.239860	0.000692	9.4
28	-0.531839	0.000000	76.239860	0.001095	9.2
29	-0.531939	0.000000	76.239860	0.001680	9.9
30	-0.532154	0.000000	76.239860	0.001970	9.3
31	-0.532394	0.000000	76.239860	0.001313	9.6
32	-0.532442	0.000000	76.239860	0.000741	9.7
33	-0.532467	0.000000	76.239860	0.000579	9.3
34	-0.532483	0.000000	76.239860	0.000487	9.1
35	-0.532494	0.000000	76.239860	0.000461	9.6
36	-0.532500	0.000000	76.239860	0.000313	9.6
37	-0.532505	0.000000	76.239860	0.000244	9.2
38	-0.532507	0.000000	76.239860	0.000205	9.2
39	-0.532510	0.000000	76.239860	0.000153	9.8
40	-0.532512	0.000000	76.239860	0.000129	9.3
41	-0.532511	0.000000	76.239860	0.000104	9.7
42	-0.532512	0.000000	76.239860	0.000087	9.1
43	-0.532512	0.000000	76.239860	0.000071	9.0
44	-0.532513	0.000000	76.239860	0.000068	9.5
45	-0.532513	0.000000	76.239860	0.000062	9.2
46	-0.532513	0.000000	76.239860	0.000055	9.3
47	-0.532514	0.000000	76.239860	0.000053	9.2
48	-0.532514	0.000000	76.239860	0.000048	9.4
49	-0.532514	0.000000	76.239860	0.000044	9.4
50	-0.532514	0.000000	76.239860	0.000044	9.9
51	-0.532514	1.000000	72.774411	0.000045	9.6
52	-0.532515	2.000000	69.610307	0.000041	9.7
53	-0.532514	3.000000	66.709877	0.000036	10.1
54	-0.532515	4.000000	64.041482	0.000028	9.4
55	-0.532514	5.000000	61.578348	0.000022	9.3
56	-0.532515	4.990000	61.602041	0.000022	9.1
57	-0.532514	4.980000	61.625753	0.000023	9.3
58	-0.532515	4.970000	61.649482	0.000024	9.0
59	-0.532515	4.960000	61.673230	0.000022	9.6
60	-0.532515	4.950000	61.696996	0.000023	9.6
61	-0.532515	4.940000	61.720781	0.000022	9.5
62	-0.532515	4.930000	61.744584	0.000020	9.7
63	-0.532515	4.920000	61.768405	0.000015	9.4
64	-0.532515	4.910000	61.792244	0.000014	9.5
65	-0.532515	4.900000	61.816102	0.000014	9.4
66	-0.532515	4.890000	61.839979	0.000016	9.4
67	-0.532515	4.880000	61.863874	0.000015	9.4
68	-0.532515	4.870000	61.887787	0.000013	9.3
69	-0.532515	4.860000	61.911719	0.000014	9.5
70	-0.532515	4.850000	61.935669	0.000013	9.1
71	-0.532515	5.850000	59.628941	0.000013	9.2
72	-0.532515	6.850000	57.487865	0.000012	9.4
73	-0.532515	7.850000	55.495218	0.000011	9.1
74	-0.532515	8.850000	53.636082	0.000010	9.5
75	-0.532515	9.850000	51.897473	0.000008	9.7
76	-0.532515	10.850000	50.268039	0.000008	9.2
77	-0.532515	11.850000	48.737810	0.000008	9.0
78	-0.532515	12.850000	47.297993	0.000007	9.2
79	-0.532515	13.850000	45.940805	0.000007	9.2
80	-0.532515	14.850000	44.659332	0.000007	9.4
81	-0.532515	15.850000	43.447410	0.000006	9.2
82	-0.532515	16.850000	42.299526	0.000006	9.7
83	-0.532515	17.850000	41.210735	0.000006	9.3
84	-0.532515	18.850000	40.176589	0.000006	9.3
85	-0.532515	19.850000	39.193073	0.000006	9.3
86	-0.532515	20.850000	38.256560	0.000003	9.2
87	-0.532515	20.840000	38.265704	0.000003	9.2
88	-0.532515	20.830000	38.274852	0.000003	9.5
89	-0.532515	20.820000	38.284004	0.000006	9.6
90	-0.532515	21.820000	37.389936	0.000006	9.2
91	-0.532515	22.820000	36.536674	0.000005	9.3
92	-0.532515	23.820000	35.721487	0.000004	9.5
93	-0.532515	24.820000	34.941882	0.000003	9.4
94	-0.532515	24.810000	34.949510	0.000005	9.5
95	-0.532515	25.810000	34.202885	0.000005	9.8
96	-0.532515	26.810000	33.487493	0.000006	9.2
97	-0.532515	27.810000	32.801415	0.000004	9.5
98	-0.532515	28.810000	32.142884	0.000002	9.8
99	-0.532515	29.810000	31.510275	0.000002	9.8
100	-0.532515	29.800000	31.516477	0.000004	9.9
101	-0.532515	30.800000	30.908051	0.000004	9.6
102	-0.532515	31.800000	30.322671	0.000004	9.6
103	-0.532515	32.800000	29.759053	0.000004	9.2
104	-0.532515	33.800000	29.216005	0.000001	9.3
105	-0.532515	34.800000	28.692420	0.000002	9.7
106	-0.532515	34.790000	28.697563	0.000004	9.6
107	-0.532515	35.790000	28.192235	0.000004	9.9
108	-0.532515	36.790000	27.704396	0.000001	10.1
109	-0.532515	37.790000	27.233153	0.000002	10.1
110	-0.532515	37.780000	27.237786	0.000004	9.7
111	-0.532515	38.780000	26.782152	0.000004	9.2
112	-0.532515	39.780000	26.341511	0.000001	9.5
113	-0.532515	40.780000	25.915135	0.000002	9.5
114	-0.532515	40.770000	25.919331	0.000004	9.5
115	-0.532515	41.770000	25.506405	0.000003	9.3
116	-0.532515	42.770000	25.106430	0.000001	9.4
117	-0.532515	43.770000	24.718806	0.000001	9.4
118	-0.532515	43.760000	24.722623	0.000004	9.4
119	-0.532515	44.760000	24.346671	0.000003	10.0
120	-0.532515	45.760000	23.981981	0.000002	9.6
121	-0.532515	45.750000	23.985574	0.000004	9.8
122	-0.532515	46.750000	23.631543	0.000003	10.1
123	-0.532515	47.750000	23.287812	0.000001	9.8
124	-0.532515	48.750000	22.953936	0.000001	9.1
125	-0.532515	49.750000	22.629499	0.000001	9.7
126	-0.532515	50.750000	22.314105	0.000001	9.0
127	-0.532515	51.750000	22.007382	0.000001	9.8
128	-0.532515	52.750000	21.708977	0.000001	9.3
129	-0.532515	53.750000	21.418556	0.000001	9.7
130	-0.532515	54.750000	21.135803	0.000001	9.8
131	-0.532515	55.750000	20.860418	0.000001	9.4
132	-0.532515	56.750000	20.592116	0.000001	10.2
133	-0.532515	57.750000	20.330629	0.000001	9.6
134	-0.532515	58.750000	20.075700	0.000001	9.5
135	-0.532515	59.750000	19.827084	0.000001	9.4
136	-0.532515	60.750000	19.584551	0.000001	9.7
137	-0.532515	61.750000	19.347880	0.000001	9.4
138	-0.532515	61.740000	19.350218	0.000004	9.3
139	-0.532515	62.740000	19.119143	0.000003	9.8
140	-0.532515	63.740000	18.893522	0.000002	9.6
141	-0.532515	63.730000	18.895752	0.000004	9.4
142	-0.532515	64.730000	18.675342	0.000003	9.7
143	-0.532515	65.730000	18.460014	0.000002	9.9
144	-0.532515	65.720000	18.462143	0.000004	9.4
145	-0.532515	66.720000	18.251676	0.000002	9.4
146	-0.532515	67.720000	18.045954	0.000002	9.4
